Industry,Firms,Clustering
38,15,Hoberg
39,8,Hoberg
40,7,Hoberg
41,6,Hoberg
42,12,Hoberg
43,10,Hoberg
44,4,Hoberg
45,12,Hoberg
46,32,Hoberg
47,5,Hoberg
48,7,Hoberg
49,13,Hoberg
50,6,Hoberg
51,8,Hoberg
52,7,Hoberg
53,21,Hoberg
54,52,Hoberg
55,9,Hoberg
56,38,Hoberg
57,10,Hoberg
58,18,Hoberg
59,12,Hoberg
60,5,Hoberg
61,4,Hoberg
62,11,Hoberg
63,6,Hoberg
64,11,Hoberg
65,9,Hoberg
66,39,Hoberg
67,6,Hoberg
68,10,Hoberg
69,12,Hoberg
70,6,Hoberg
71,14,Hoberg
72,4,Hoberg
73,8,Hoberg
74,21,Hoberg
75,6,Hoberg
76,15,Hoberg
77,24,Hoberg
78,8,Hoberg
79,8,Hoberg
80,18,Hoberg
81,7,Hoberg
82,8,Hoberg
83,70,Hoberg
84,5,Hoberg
85,7,Hoberg
86,7,Hoberg
87,15,Hoberg
88,8,Hoberg
89,6,Hoberg
90,18,Hoberg
91,8,Hoberg
92,9,Hoberg
93,16,Hoberg
94,16,Hoberg
95,13,Hoberg
96,5,Hoberg
97,14,Hoberg
98,18,Hoberg
99,24,Hoberg
100,9,Hoberg
101,23,Hoberg
102,27,Hoberg
103,8,Hoberg
104,13,Hoberg
105,12,Hoberg
106,11,Hoberg
107,38,Hoberg
108,13,Hoberg
109,11,Hoberg
110,8,Hoberg
111,6,Hoberg
112,5,Hoberg
113,14,Hoberg
114,8,Hoberg
115,5,Hoberg
116,4,Hoberg
117,285,Hoberg
118,14,Hoberg
119,17,Hoberg
120,40,Hoberg
121,3,Hoberg
122,7,Hoberg
123,20,Hoberg
124,4,Hoberg
125,2,Hoberg
126,9,Hoberg
127,6,Hoberg
128,7,Hoberg
129,4,Hoberg
130,5,Hoberg
131,15,Hoberg
132,6,Hoberg
133,5,Hoberg
134,11,Hoberg
135,5,Hoberg
136,13,Hoberg
137,5,Hoberg
138,9,Hoberg
139,4,Hoberg
140,23,Hoberg
141,19,Hoberg
142,3,Hoberg
143,3,Hoberg
144,27,Hoberg
145,9,Hoberg
146,6,Hoberg
147,3,Hoberg
148,10,Hoberg
149,3,Hoberg
150,13,Hoberg
151,45,Hoberg
152,9,Hoberg
153,27,Hoberg
154,3,Hoberg
155,35,Hoberg
156,10,Hoberg
157,18,Hoberg
158,9,Hoberg
159,4,Hoberg
160,5,Hoberg
161,8,Hoberg
162,5,Hoberg
163,28,Hoberg
164,17,Hoberg
165,9,Hoberg
166,6,Hoberg
167,4,Hoberg
168,9,Hoberg
169,29,Hoberg
170,6,Hoberg
171,3,Hoberg
172,9,Hoberg
173,5,Hoberg
174,3,Hoberg
175,5,Hoberg
176,5,Hoberg
177,17,Hoberg
178,6,Hoberg
179,107,Hoberg
180,8,Hoberg
181,4,Hoberg
182,23,Hoberg
183,100,Hoberg
184,6,Hoberg
185,9,Hoberg
186,7,Hoberg
187,6,Hoberg
188,42,Hoberg
189,9,Hoberg
190,4,Hoberg
191,7,Hoberg
192,7,Hoberg
193,21,Hoberg
194,7,Hoberg
195,103,Hoberg
196,12,Hoberg
197,33,Hoberg
198,11,Hoberg
199,11,Hoberg
200,13,Hoberg
201,9,Hoberg
202,15,Hoberg
203,4,Hoberg
204,4,Hoberg
205,4,Hoberg
206,21,Hoberg
207,12,Hoberg
208,43,Hoberg
209,26,Hoberg
210,73,Hoberg
211,25,Hoberg
212,8,Hoberg
213,10,Hoberg
214,6,Hoberg
215,4,Hoberg
216,8,Hoberg
217,8,Hoberg
218,5,Hoberg
219,2,Hoberg
220,17,Hoberg
221,2,Hoberg
222,6,Hoberg
223,4,Hoberg
224,31,Hoberg
225,5,Hoberg
226,2,Hoberg
227,5,Hoberg
228,8,Hoberg
229,6,Hoberg
230,3,Hoberg
231,4,Hoberg
232,6,Hoberg
233,6,Hoberg
234,7,Hoberg
235,5,Hoberg
236,6,Hoberg
237,6,Hoberg
238,6,Hoberg
239,2,Hoberg
240,4,Hoberg
241,3,Hoberg
242,5,Hoberg
243,4,Hoberg
244,2,Hoberg
245,7,Hoberg
246,11,Hoberg
247,3,Hoberg
248,14,Hoberg
249,12,Hoberg
250,4,Hoberg
251,4,Hoberg
252,20,Hoberg
253,8,Hoberg
254,4,Hoberg
255,11,Hoberg
256,6,Hoberg
257,10,Hoberg
258,5,Hoberg
259,13,Hoberg
260,10,Hoberg
261,9,Hoberg
262,4,Hoberg
263,5,Hoberg
264,11,Hoberg
265,3,Hoberg
266,25,Hoberg
267,4,Hoberg
268,4,Hoberg
269,3,Hoberg
270,3,Hoberg
271,4,Hoberg
272,4,Hoberg
273,4,Hoberg
274,2,Hoberg
275,9,Hoberg
276,4,Hoberg
277,4,Hoberg
278,5,Hoberg
279,7,Hoberg
280,5,Hoberg
281,6,Hoberg
282,28,Hoberg
283,6,Hoberg
284,2,Hoberg
285,2,Hoberg
286,45,Hoberg
287,4,Hoberg
288,9,Hoberg
289,5,Hoberg
290,4,Hoberg
291,5,Hoberg
292,4,Hoberg
293,4,Hoberg
294,2,Hoberg
295,8,Hoberg
296,3,Hoberg
297,2,Hoberg
298,11,Hoberg
299,6,Hoberg
