"","cik","Score","year","distance","cik_str","sic","Revenue","Total.Assets","MV","TobinsQ_1","TobinsQ_2","TobinsQ.before","RevenueGrowth","RevenueGrowthAbs","TobinsQGrowth","AssetGrowth","MVGrowth","FirmSize","NormalizedDistance","Industry"
"3463",1530721,0.853972852230072,2018,0.146027147769928,1530721,"3100",4718600,4002800,11042.34,2.684,2.591,2.868,5,224900,-12.77,71.33,70.61,"Micro_Nano_Cap",40.6298757954771,308
"3464",1530804,0.857757925987244,2018,0.142242074012756,1530804,"2810",1819000,4605000,1360.76,0.657,0.93,0.877,7.13,121000,-49.92,-5.32,-12.19,"Micro_Nano_Cap",36.984701179135,255
"3465",1530950,0.88461822271347,2018,0.11538177728653,1530950,"2040",6257200,13057500,6568.8,0.98,1.029,0.967,19.74,1031400,2.68,9.94,16.91,"Micro_Nano_Cap",11.1171809945299,83
"3466",1532390,0.911984980106354,2018,0.0880150198936462,1532390,"5140",19812,6056,68.49,10.486,20.082,6.187,55.22,7048,138.27,41.83,156.71,"Micro_Nano_Cap",-15.2380806938635,293
"3467",1532961,0.915348589420319,2018,0.0846514105796814,1532961,"7380",418081,439421,1128.32,2.711,2.433,2.127,25.54,85047,54.64,43.7,120.17,"Micro_Nano_Cap",-18.477368506241,70
"3468",1533040,0.902945697307587,2018,0.0970543026924133,1533040,"2834",138,15322,6.43,0.503,0.134,0.979,820,123,-96.76,273.89,-47.3,"Micro_Nano_Cap",-6.53289650938821,51
"3469",1533924,0.871612370014191,2018,0.128387629985809,1533924,"1311",205082,605495,251.05,0.405,0.381,0.544,-8.89,-20012,-50.85,-12.01,-38.55,"Micro_Nano_Cap",23.642327706261,275
"3470",1533998,0.905658364295959,2018,0.0943416357040405,1533998,"3841",7394,14089,20.91,1.296,1.409,1.304,43.02,2224,-1.22,102.52,17.14,"Micro_Nano_Cap",-9.14530130859992,245
"3471",1534120,0.878893375396729,2018,0.121106624603271,1534120,"2834",18327,70251,161.44,2.936,2.894,-0.065,-34.11,-9486,-9187.68,62.9,637.51,"Micro_Nano_Cap",16.6304336971707,206
"3472",1534154,0.849367141723633,2018,0.150632858276367,1534154,"7372",3829,18144,75.97,4.211,3.858,3.258,66.19,1525,58.21,6.55,18.8,"Micro_Nano_Cap",45.0653558165684,205
"3473",1534525,0.88553911447525,2018,0.11446088552475,1534525,"2834",0,14431,23.51,1.605,1.603,1.151,-100,-7585,78.49,-24.7,8.74,"Micro_Nano_Cap",10.2303260770852,51
"3474",1534708,0.876337647438049,2018,0.123662352561951,1534708,"2080",6124,26358,49.71,3.17,2.33,1.937,134.55,3513,126.67,191.93,262.85,"Micro_Nano_Cap",19.0917000499338,87
"3475",1535079,0.901029169559479,2018,0.0989708304405212,1535079,"7372",3987,1965,4.09,1.082,1.975,1.377,58.59,1473,-42.63,-15.01,-35.39,"Micro_Nano_Cap",-4.68720505207342,72
"3476",1537054,0.929634392261505,2018,0.0703656077384949,1537054,"4899",893764,1265096,379.98,1.026,1.269,1.182,27.85,194674,-26.26,-9.84,-69.74,"Micro_Nano_Cap",-32.235157450801,173
"3477",1537435,0.882927358150482,2018,0.117072641849518,1537435,"3585",35884,49904,76.69,1.58,1.547,1.435,8.07,2681,20.11,-1.51,-5.97,"Micro_Nano_Cap",12.7455499458611,246
"3478",1539029,0.893141984939575,2018,0.106858015060425,1539029,"2834",30,44120,201.11,2.045,4.117,3.221,-91.3,-315,-72.66,8.96,-1.64,"Micro_Nano_Cap",2.90846335898522,27
"3479",1539838,0.936203360557556,2018,0.0637966394424438,1539838,"1311",2176256,21499017,11479.53,1.613,0.786,1.582,80.59,971145,3.9,176.66,30.78,"Micro_Nano_Cap",-38.5613317936263,275
"3480",1539850,0.897309243679047,2018,0.102690756320953,1539850,"7311",126,48,938.64,12751.556,19686.709,51.015,1475,118,49542.44,-86.89,10676.58,"Micro_Nano_Cap",-1.10477039849949,148
"3481",1540684,0.881790518760681,2018,0.118209481239319,1540684,"1400",71,3693,0.29,2.987,1.507,1.931,-55.9,-90,108.83,-17.84,-64.63,"Micro_Nano_Cap",13.8403709064062,121
"3482",1540729,0.905334830284119,2018,0.0946651697158813,1540729,"",1104991,2388173,315.13,0.817,0.84,0.781,15.76,150453,9.17,-8.38,-5.36,"Micro_Nano_Cap",-8.83372535443233,59
"3483",1540947,0.885818898677826,2018,0.114181101322174,1540947,"",1495098,9456121,4810.92,1.064,1.095,2.129,79.25,661002,-99.55,166.46,-18.76,"Micro_Nano_Cap",9.96088290669788,50
"3484",1543623,0.871346652507782,2018,0.128653347492218,1543623,"3829",3635,3336,19.44,3.971,3.685,1.599,18.37,564,295.2,25.13,435.54,"Micro_Nano_Cap",23.8982240960324,18
"3485",1543652,0.898442387580872,2018,0.101557612419128,1543652,"5531",250,1388,28.84,55.445,18.98,12.965,-26.47,-90,652.03,634.39,22.31,"Micro_Nano_Cap",-2.19603245905218,212
"3486",1544238,0.893905580043793,2018,0.106094419956207,1544238,"",1511,2459,22.59,8.302,11.621,2.434,147.7,901,479.76,-22.11,-50.13,"Micro_Nano_Cap",2.17309129766596,206
"3487",1546296,0.934664607048035,2018,0.0653353929519653,1546296,"7370",8453,5238,14.72,1.512,2.784,0.506,-61.67,-13601,395.64,-72.42,-31.57,"Micro_Nano_Cap",-37.0794517581085,91
"3488",1546417,0.88336443901062,2018,0.11663556098938,1546417,"5812",4126413,2371784,1731.39,1.275,1.227,1.111,-2.06,-86933,29.38,-5.18,9.88,"Micro_Nano_Cap",12.3246239193484,20
"3489",1547459,0.909855246543884,2018,0.0901447534561157,1547459,"5411",849042,307083,407.25,1.377,1.348,0.602,10.4,80012,256.19,2.36,220.14,"Micro_Nano_Cap",-13.1870636676361,83
"3490",1549084,0.927241384983063,2018,0.0727586150169373,1549084,"3569",11332,17655,130.79,6.203,7.693,1.06,54.11,3979,965.53,-53.52,327.84,"Micro_Nano_Cap",-29.9305975009262,48
"3491",1549346,0.902640163898468,2018,0.097359836101532,1549346,"7374",623250,519113,1898.54,3.415,3.201,1.719,11.87,66139,196.34,-8.61,60.26,"Micro_Nano_Cap",-6.23865584228005,289
"3492",1551152,0.860957622528076,2018,0.139042377471924,1551152,"2834",32753000,59352000,141099.9,2.628,2.993,2.47,16.08,4537000,12.73,-16.15,1.74,"Micro_Nano_Cap",33.9032678019013,82
"3493",1551182,0.9166619181633,2018,0.0833380818367004,1551182,"3590",21609000,30799000,36856.5,1.412,1.367,1.263,5.91,1205000,23.48,-4.85,12.34,"Micro_Nano_Cap",-19.7421556422264,117
"3494",1552033,0.887748718261719,2018,0.112251281738281,1552033,"7320",2317200,7039800,14020.57,2.465,2.39,2.22,19.83,383400,21.96,37.54,61.05,"Micro_Nano_Cap",8.10239088973324,131
"3495",1552275,0.903534948825836,2018,0.0964650511741638,1552275,"2911",16994000,4879000,2287.82,1.011,1.104,0.866,44.96,5271000,33.32,-41.53,-27.47,"Micro_Nano_Cap",-7.10036885332719,250
"3496",1552797,0.877389311790466,2018,0.122610688209534,1552797,"4610",657609,624593,819.68,2.278,2.367,2.722,22.22,119534,-32.46,40.82,16.63,"Micro_Nano_Cap",18.0789059940508,34
"3497",1552800,0.876640021800995,2018,0.123359978199005,1552800,"5700",357254,290405,397.93,1.438,1.362,2.671,3.67,12654,-91.86,12.09,-50.4,"Micro_Nano_Cap",18.8005016683029,157
"3498",1553404,0.925975203514099,2018,0.0740247964859009,1553404,"4955",1995,12965,77.78,5.797,4.835,0.52,-99.49,-392707,2019.47,-96.18,-62.22,"Micro_Nano_Cap",-28.7112150406494,74
"3499",1554859,0.903663635253906,2018,0.0963363647460938,1554859,"3845",21491,7719,176.78,31.027,26.282,6.593,72.59,9039,737.5,82.14,866.01,"Micro_Nano_Cap",-7.22429893531831,245
"3500",1555280,0.892733097076416,2018,0.107266902923584,1555280,"2834",5825000,10716000,42516.12,4.773,4.599,3.791,9.76,518000,51.55,25.98,33.16,"Micro_Nano_Cap",3.30223842265318,82
"3501",1556266,0.830277144908905,2018,0.169722855091095,1556266,"5050",488,3212,17.83,3.741,4.482,7.094,19.9,81,-94.06,-55.18,-61.5,"Micro_Nano_Cap",63.4497721527757,292
"3502",1557746,0.878663063049316,2018,0.121336936950684,1557746,"2834",10091,275566,469.67,1.795,1.642,2.173,499.58,8408,-34.62,13.16,-41.12,"Micro_Nano_Cap",16.852233528951,96
"3503",1559053,0.876282155513763,2018,0.123717844486237,1559053,"2834",955,489094,559.71,0.237,1.123,3.927,-96.53,-26564,-186.99,0.18,-76.58,"Micro_Nano_Cap",19.1451409514316,51
"3504",1559865,0.899530291557312,2018,0.100469708442688,1559865,"7374",453869,925375,1705.22,2.392,2.384,1.918,11.48,46725,49.18,2.5,23.99,"Micro_Nano_Cap",-3.24372669550518,32
"3505",1560327,0.875577867031097,2018,0.124422132968903,1560327,"7372",244091,559369,1773.1,3.154,3.152,2.736,21.47,43151,30.4,96.87,132.78,"Micro_Nano_Cap",19.8233984080351,131
"3506",1560385,0.939915597438812,2018,0.0600844025611877,1560385,"4833",5771000,28296000,4784.18,0.953,1.029,0.94,6.38,346000,2.75,-0.82,9.12,"Micro_Nano_Cap",-42.1363616391517,165
"3507",1561680,0.895743429660797,2018,0.104256570339203,1561680,"1531",3262747,3816435,2163.49,0.838,0.822,0.947,16.1,452475,-22.9,2.35,10.73,"Micro_Nano_Cap",0.40316996922023,9
"3508",1562151,0.923108100891113,2018,0.0768918991088867,1562151,"2080",67766,255085,216.52,0.817,0.906,0.992,7.19,4544,-35.11,0.42,-17.98,"Micro_Nano_Cap",-25.9500826627258,87
"3509",1562476,0.880789697170258,2018,0.119210302829742,1562476,"1531",4227393,5119365,2169.92,0.739,0.804,1.164,8.81,342103,-72.66,21.66,44.32,"Micro_Nano_Cap",14.8042013865882,9
"3510",1563568,0.893493115901947,2018,0.106506884098053,1563568,"3714",5011,10833,44.95,2.888,3.615,67.451,1079.06,4586,-190.48,103.55,-94.38,"Micro_Nano_Cap",2.5703104581007,89
"3511",1564708,0.877147734165192,2018,0.122852265834808,1564708,"2711",9024000,16067000,4825.88,0.552,0.594,0.463,10.87,885000,38.25,14.54,-5.37,"Micro_Nano_Cap",18.3115547306464,324
"3512",1565228,0.847918629646301,2018,0.152081370353699,1565228,"3669",38294,28813,7.71,0.397,0.501,0.455,-19.93,-9530,-25.37,-21.37,-63.37,"Micro_Nano_Cap",46.4603298103379,4
"3513",1566610,0.878442466259003,2018,0.121557533740997,1566610,"7200",32,898,69.43,119.315,70.684,115.329,433.33,26,6.88,886.81,587.43,"Micro_Nano_Cap",17.0646768978483,258
"3514",1566826,0.869158208370209,2018,0.130841791629791,1566826,"3842",17117,38056,38.45,1.091,1.378,1.159,-26.59,-6200,-11.68,-21.12,12.03,"Micro_Nano_Cap",26.0057817108476,237
"3515",1567514,0.883946776390076,2018,0.116053223609924,1567514,"2834",0,356677,1184.45,2.11,2.776,1.069,-100,-246,193.79,-24.18,30.51,"Micro_Nano_Cap",11.7638101624919,27
"3516",1567683,0.872837662696838,2018,0.127162337303162,1567683,"4911",1053000,8443000,1368.77,1.136,1.156,1.146,4.36,44000,-1.74,3.53,17.21,"Micro_Nano_Cap",22.462322752351,170
"3517",1567900,0.880880534648895,2018,0.119119465351105,1567900,"7371",693,210,63.25,201.804,303.252,142.985,-23.93,-218,81.86,-25,-27.01,"Micro_Nano_Cap",14.7167213287121,35
"3518",1568385,0.841218173503876,2018,0.158781826496124,1568385,"7371",1736,5026,34.17,8.769,8.401,5.574,-52.84,-1945,114.07,35.14,94.92,"Micro_Nano_Cap",52.913132110955,324
"3519",1568969,0.891451478004456,2018,0.108548521995544,1568969,"7371",4,54,0.36,24.194,12.339,32.523,300,3,-50.96,-34.15,-51.35,"Micro_Nano_Cap",4.53648790063983,64
"3520",1570585,0.922692596912384,2018,0.077307403087616,1570585,"4841",11957900,50665400,5614.69,0.985,0.967,1.185,-20.54,-3091000,-33.59,-6.93,-26.18,"Micro_Nano_Cap",-25.5499360200393,14
"3521",1571123,0.915058255195618,2018,0.0849417448043823,1571123,"7373",4659000,4509000,3411.52,2.218,1.133,2.017,4.6,205000,19.83,117.51,28.68,"Micro_Nano_Cap",-18.1977652503917,271
"3522",1571996,0.896170258522034,2018,0.103829741477966,1571996,"3571",91324000,111820000,19277.77,0.905,1.12,0.798,14.26,11395000,26.68,-8.55,25.76,"Micro_Nano_Cap",-0.00788297989438025,131
"3523",1573097,0.897196829319,2018,0.102803170681,1573097,"",6047000,4155000,7817.86,1.998,2.238,1.745,18.08,926000,28.85,1.02,19.95,"Micro_Nano_Cap",-0.996510956797181,70
"3524",1573166,0.946116507053375,2018,0.0538834929466248,1573166,"",236357,405446,23.48,0.592,2.836,0.732,25.34,47784,-38.06,-76.29,-79.44,"Micro_Nano_Cap",-48.108081023063,111
"3525",1573516,0.898965775966644,2018,0.101034224033356,1573516,"5500",12524000,2360800,2705.33,1.526,1.443,1.367,15.39,1670559,23.15,1.28,14.2,"Micro_Nano_Cap",-2.70007602086972,157
"3526",1574186,0.874339878559113,2018,0.125660121440887,1574186,"",45,552,149.48,120.483,140.58,464.141,-31.82,-21,-147.34,-25.41,-58.96,"Micro_Nano_Cap",21.0156299054671,270
"3527",1574235,0.920297086238861,2018,0.0797029137611389,1574235,"2834",153,14723,19.47,0.832,1.157,2.039,-54.33,-182,-117.8,-7.85,-54.36,"Micro_Nano_Cap",-23.2429652024278,180
"3528",1574596,0.923211574554443,2018,0.0767884254455566,1574596,"",667566,682160,179.57,0.716,0.778,0.776,-11.13,-83600,-15.39,6.89,-19.68,"Micro_Nano_Cap",-26.0497318625112,9
"3529",1574774,0.8805992603302,2018,0.1194007396698,1574774,"",399472,566826,1984.67,4.125,3.431,2.485,39.3,112696,131.33,11.83,91.66,"Micro_Nano_Cap",14.987599539419,150
"3530",1575051,0.895876586437225,2018,0.104123413562775,1575051,"",486700,434600,540.42,1.695,1.428,1.631,-2.13,-10600,7.81,-4.1,14.46,"Micro_Nano_Cap",0.274934766270629,119
"3531",1575189,0.92232209444046,2018,0.0776779055595398,1575189,"",1729850,1918714,3709.05,7.794,8.603,3.852,30,399189,203.65,-4.4,193.7,"Micro_Nano_Cap",-25.1931275950014,134
"3532",1575515,0.893612027168274,2018,0.106387972831726,1575515,"5411",5207336,1675614,3616.89,2.386,2.392,1.91,11.63,542724,49.59,5.94,37.37,"Micro_Nano_Cap",2.45579424060542,83
"3533",1575793,0.906192123889923,2018,0.0938078761100769,1575793,"3663",515,22010,296.42,7.674,10.904,11.266,-55.37,-639,-63.45,42.88,10.58,"Micro_Nano_Cap",-9.65933275104111,55
"3534",1575828,0.906783580780029,2018,0.0932164192199707,1575828,"1389",522493,1179308,1871.96,1.45,1.527,1.052,14.89,67698,75.29,-6.54,22.34,"Micro_Nano_Cap",-10.2289289546529,116
"3535",1575858,0.942013144493103,2018,0.057986855506897,1575858,"2870",564,227,11.17,21.739,86.1,88.086,16.29,79,-149.89,-20.63,-69.01,"Micro_Nano_Cap",-44.156381794478,3
"3536",1576169,0.845270097255707,2018,0.154729902744293,1576169,"",258721,313939,1288.22,7.818,4.032,6.512,0.77,1986,39.91,90.14,32,"Micro_Nano_Cap",49.0109704741988,19
"3537",1576197,0.956296503543854,2018,0.0437034964561462,1576197,"4955",8217,3805,12.99,3.268,3.232,6.172,-2.5,-211,-93.63,0.77,-61.62,"Micro_Nano_Cap",-57.911817272914,3
"3538",1576427,0.883790373802185,2018,0.116209626197815,1576427,"7311",2300316,1563242,1536.45,0.73,0.963,1.836,0.16,3612,-119.88,3.8,-48.76,"Micro_Nano_Cap",11.9144319944255,85
"3539",1576940,0.882370233535767,2018,0.117629766464233,1576940,"1531",2147413,2240492,864.42,0.857,0.809,0.843,50.82,723614,3.3,29.55,36.15,"Micro_Nano_Cap",13.2820828205119,9
"3540",1577916,0.835333824157715,2018,0.164666175842285,1577916,"8741",1661256,2006592,2306.66,1.096,3.027,0.897,14.2,206583,44.15,-0.93,31.07,"Micro_Nano_Cap",58.579991529394,312
"3541",1579157,0.879253029823303,2018,0.120746970176697,1579157,"5600",278951,234728,211.73,1.075,0.806,0.415,2.34,6369,316.48,0.24,764.56,"Micro_Nano_Cap",16.2840723656587,186
"3542",1579214,0.919737160205841,2018,0.0802628397941589,1579214,"7389",380700,1580000,1167.37,1.042,1.014,1.363,11.41,39000,-46.87,-3.54,-27.79,"Micro_Nano_Cap",-22.7037344519763,247
"3543",1579241,0.902674734592438,2018,0.0973252654075623,1579241,"7381",2731700,2725600,8521.79,3.611,3.45,3.812,13.43,323500,-10.49,8.74,10.67,"Micro_Nano_Cap",-6.2719487776922,117
"3544",1579298,0.905437350273132,2018,0.0945626497268677,1579298,"5311",6668479,3074811,11393.09,3.917,3.737,2.739,9.14,558436,85.59,9.58,88.33,"Micro_Nano_Cap",-8.93245612841321,137
"3545",1579684,0.903056979179382,2018,0.0969430208206177,1579684,"2711",1526024,1443864,928.51,0.925,0.952,0.754,13.71,184020,45.13,12.49,29,"Micro_Nano_Cap",-6.64006532044769,324
"3546",1580670,0.920931398868561,2018,0.0790686011314392,1580670,"1531",1504400,1392683,1183.25,1.254,1.1,1.442,19.59,246440,-25.94,29.2,23.74,"Micro_Nano_Cap",-23.8538331656281,9
"3547",1580808,0.927657663822174,2018,0.0723423361778259,1580808,"3576",232223,235876,492.23,1.879,1.717,1.881,-1.36,-3206,-0.21,4.9,5.07,"Micro_Nano_Cap",-30.3314903645788,44
"3548",1580905,0.909154117107391,2018,0.0908458828926086,1580905,"1520",1336432,834658,1542.39,1.771,1.9,3.22,17.96,203505,-89.55,12.98,-15.74,"Micro_Nano_Cap",-12.5118484965098,291
"3549",1582313,0.925066590309143,2018,0.0749334096908569,1582313,"2834",0,122428,287,1.78,2.327,0.201,-100,-311,1563.29,165.45,406.26,"Micro_Nano_Cap",-27.8361848554374,273
"3550",1582554,0.853703618049622,2018,0.146296381950378,1582554,"2834",120,19943,42.89,6.876,4.521,7.386,-20,-30,-13.74,38.26,-66.19,"Micro_Nano_Cap",40.8891588804024,327
"3551",1582982,0.860815227031708,2018,0.139184772968292,1582982,"7372",50546,47623,56.27,1.689,1.267,0.691,58.89,18735,287.41,86.57,242.48,"Micro_Nano_Cap",34.0404002548318,46
"3552",1583107,0.861179292201996,2018,0.138820707798004,1583107,"2834",60370,560235,1563.3,4.675,3.756,3.58,292.37,44984,60.87,26.92,-9.98,"Micro_Nano_Cap",33.689791203974,180
"3553",1583648,0.89298802614212,2018,0.10701197385788,1583648,"2834",29101,141341,284.22,1.094,1.931,1.695,15.14,3826,-70.56,36.07,18.13,"Micro_Nano_Cap",3.0567317247949,51
"3554",1584509,0.938727021217346,2018,0.0612729787826538,1584509,"5812",15789633,13720102,10191.79,1.286,1.252,1.372,8.12,1185221,-12.47,24.66,1.42,"Micro_Nano_Cap",-40.9917160787139,70
"3555",1584754,0.865940630435944,2018,0.134059369564056,1584754,"3661",1208,29308,178.22,7.266,4.834,7.19,148.56,722,2.1,61.99,40.01,"Micro_Nano_Cap",29.1044355719152,55
"3556",1585364,0.889718532562256,2018,0.110281467437744,1585364,"2834",4731700,10982200,10240.55,1.137,1.17,1.255,-4.33,-214300,-18.71,-5.48,-15.59,"Micro_Nano_Cap",6.20538239059352,104
"3557",1585608,0.913530588150024,2018,0.0864694118499756,1585608,"2834",4416,41042,6.1,1.467,0.943,0.484,1.26,55,404.17,-5.93,-79.44,"Micro_Nano_Cap",-16.7265619148509,65
"3558",1585689,0.865984618663788,2018,0.134015381336212,1585689,"7011",3668000,13905000,23082.58,2.2,2.102,1.987,4.95,173000,21.33,-2.04,7.95,"Micro_Nano_Cap",29.0620731816839,0
"3559",1587523,0.881166398525238,2018,0.118833601474762,1587523,"3651",826900,1547900,1485.75,1.034,0.931,1.042,11.11,82700,-1.53,-0.12,11.3,"Micro_Nano_Cap",14.4414231938212,63
"3560",1587732,0.915169358253479,2018,0.084830641746521,1587732,"4924",1633731,5468642,4235.55,1.122,1.058,1.048,6.11,94098,14.05,5.03,7,"Micro_Nano_Cap",-18.3047618566128,50
"3561",1589149,0.901849687099457,2018,0.0981503129005432,1589149,"5051",20,569,23.74,17.473,40.089,6.38,-93.73,-299,346,-81.87,-38.77,"Micro_Nano_Cap",-5.47739565359718,97
"3562",1589526,0.91132527589798,2018,0.0886747241020203,1589526,"3713",1024976,302993,626.27,2.506,2.563,2.183,3.47,34374,29.44,6.66,42.38,"Micro_Nano_Cap",-14.602759643619,62
"3563",1590364,0.917189240455627,2018,0.0828107595443726,1590364,"7350",379878,2638778,1466.17,1.018,1.031,0.999,74.53,162219,3.78,34.92,11.35,"Micro_Nano_Cap",-20.2499877104874,124
"3564",1590418,0.866828083992004,2018,0.133171916007996,1590418,"3823",308,9278,282.26,29.238,31.084,10.339,-65.7,-590,363.76,1789.61,609.91,"Micro_Nano_Cap",28.2497829592399,172
"3565",1590560,0.896265089511871,2018,0.103734910488129,1590560,"2834",9577,238846,1526.62,4.049,3.978,1.277,-16.77,-1929,431.97,36.61,605.76,"Micro_Nano_Cap",-0.0992089458267009,96
"3566",1590584,0.880091428756714,2018,0.119908571243286,1590584,"7000",466692,1001677,584.49,1.102,1.094,0.696,22.08,84416,116.08,17.3,93.84,"Micro_Nano_Cap",15.476661280301,23
"3567",1590695,0.91747635602951,2018,0.0825236439704895,1590695,"2833",73291,71270,190.83,3.999,3.878,2.935,-14.28,-12210,72.14,-2.53,0.6,"Micro_Nano_Cap",-20.5264912792467,148
"3568",1590714,0.85175895690918,2018,0.14824104309082,1590714,"2890",1961000,9401500,3718.17,0.937,0.912,0.801,-48.07,-1814900,33.79,-8.3,9.9,"Micro_Nano_Cap",42.7619438989492,16
"3569",1590750,0.901543617248535,2018,0.0984563827514648,1590750,"8071",8386,66147,180.52,1.459,2.237,3.416,109.49,4383,-114.01,26.04,-9.65,"Micro_Nano_Cap",-5.18263837197401,27
"3570",1590877,0.876252591609955,2018,0.123747408390045,1590877,"2836",218505,543814,2598.62,1.403,3.914,4.102,2002.42,208112,-130.94,173.72,227.93,"Micro_Nano_Cap",19.1736121513702,96
"3571",1590895,0.88108503818512,2018,0.11891496181488,1590895,"7011",2056007,5911462,3611.67,1.462,1.313,1.122,39.53,582503,60.3,66.69,90.7,"Micro_Nano_Cap",14.5197763952653,26
"3572",1590955,0.881902098655701,2018,0.118097901344299,1590955,"7372",566336,1521926,9321.39,6.077,4.987,4.063,30.78,133289,98.64,12.58,107.87,"Micro_Nano_Cap",13.7329150872828,72
"3573",1590976,0.879444241523743,2018,0.120555758476257,1590976,"3730",497002,301663,1082.03,3.699,3.623,2.915,76.28,215065,53.52,158.77,92.41,"Micro_Nano_Cap",16.0999279918618,290
"3574",1591165,0.917055130004883,2018,0.0829448699951172,1591165,"3841",818,404,10.3,13.661,20.91,8.317,295.17,611,127.87,-67.1,-58.23,"Micro_Nano_Cap",-20.1208340817333,49
"3575",1591588,0.871770083904266,2018,0.128229916095734,1591588,"5094",7606248,739131,92.04,0.861,0.939,0.886,8.82,616624,-5.62,55.76,-27.4,"Micro_Nano_Cap",23.4904430388462,61
"3576",1591698,0.911376178264618,2018,0.0886238217353821,1591698,"7372",368434,1485459,4351.7,2.855,2.336,2.155,24.31,72055,64.64,30.6,75.74,"Micro_Nano_Cap",-14.6517806209328,236
"3577",1592000,0.903563797473907,2018,0.0964362025260925,1592000,"4922",7693800,10694100,3106.42,0.964,0.686,0.966,33.95,1950000,-0.41,1.48,-2.26,"Micro_Nano_Cap",-7.12815123391251,38
"3578",1595974,0.946694433689117,2018,0.0533055663108826,1595974,"7370",124685,360012,187.78,-0.09,0.467,0.154,-19.84,-30860,-315.3,-6.16,-6.01,"Micro_Nano_Cap",-48.6646470605739,85
"3579",1596532,0.909837782382965,2018,0.0901622176170349,1596532,"3576",2151369,2955491,19993.63,6.862,5.642,5.689,30.69,505183,41.03,23.36,57.24,"Micro_Nano_Cap",-13.1702449950917,131
"3580",1596783,0.915017664432526,2018,0.0849823355674744,1596783,"2834",2463400,4498200,5991.19,1.932,1.944,1.826,18.7,388000,11.55,32.28,17.08,"Micro_Nano_Cap",-18.1586747520888,16
"3581",1596961,0.872261703014374,2018,0.127738296985626,1596961,"7371",156398,108926,144.91,6.532,1.737,11.485,2040.68,149092,-85.82,500.04,121.64,"Micro_Nano_Cap",23.0169945366402,29
"3582",1596993,0.880801320075989,2018,0.119198679924011,1596993,"4412",159335,1736110,421.4,0.666,0.681,0.615,-4.84,-8112,16.5,-0.58,-1.07,"Micro_Nano_Cap",14.7930080720962,77
"3583",1597264,0.91978794336319,2018,0.0802120566368103,1597264,"2834",44521,540124,3364.87,4.737,5.616,5.572,107.79,23095,-29.82,-24.54,77.34,"Micro_Nano_Cap",-22.7526406260645,155
"3584",1597672,0.895558178424835,2018,0.104441821575165,1597672,"2611",2108492,2272129,1094.94,0.889,0.853,0.699,119.54,1148098,54.09,1.44,82.94,"Micro_Nano_Cap",0.581574181739186,106
"3585",1597846,0.903361856937408,2018,0.0966381430625916,1597846,"7374",4213,10064,278.75,10.651,33.123,26.154,7.58,297,-117.96,-8.63,-19.44,"Micro_Nano_Cap",-6.93367456981527,32
"3586",1599617,0.984523057937622,2018,0.0154769420623779,1599617,"3533",3127000,1793000,1755.93,1.008,1.031,0.873,18.09,479000,30.77,2.63,29.47,"Micro_Nano_Cap",-85.0950972256528,116
"3587",1600033,0.891542613506317,2018,0.108457386493683,1600033,"2844",267435,435856,637.59,1.756,1.612,2.96,-0.91,-2453,-80.94,4.46,-30.88,"Micro_Nano_Cap",4.44872083469985,293
"3588",1600132,0.909207105636597,2018,0.0907928943634033,1600132,"2834",0,18360,61.84,4.846,3.431,7.891,-100,-578844,-76.79,-96.92,-99.16,"Micro_Nano_Cap",-12.5628785302709,206
"3589",1600422,0.870525360107422,2018,0.129474639892578,1600422,"3533",18245,27006,64.28,3.002,3.492,1,16.99,2649,398.4,-5.82,284.91,"Micro_Nano_Cap",24.6891609185223,118
"3590",1600438,0.929771244525909,2018,0.0702287554740906,1600438,"5030",2511469,1454511,1024.35,1.05,0.959,1.302,8.29,192323,-38.52,4.4,-25.52,"Micro_Nano_Cap",-32.3669515537429,70
"3591",1601046,0.879187166690826,2018,0.120812833309174,1601046,"3823",3878000,5074000,12463.96,2.103,2.645,1.589,21.61,689000,64.37,-11.71,67.56,"Micro_Nano_Cap",16.3475011477801,128
"3592",1601548,0.955073893070221,2018,0.0449261069297791,1601548,"8744",1279304,572243,365.55,0.723,0.718,0.731,14.76,164516,-2.18,15.48,16.05,"Micro_Nano_Cap",-56.7343953915791,70
"3593",1603145,0.907131731510162,2018,0.0928682684898376,1603145,"4911",771000,9297000,2601.63,1.079,0.707,0.891,-4.46,-36000,41.99,13.18,13.91,"Micro_Nano_Cap",-10.5642117748985,50
"3594",1603793,0.901124954223633,2018,0.0988750457763672,1603793,"1311",132,3013,14.41,6.802,4.671,22.7,-11.41,-17,-139.37,172.42,-24.75,"Micro_Nano_Cap",-4.7794494438102,111
"3595",1603978,0.942848265171051,2018,0.057151734828949,1603978,"900",85,27671,41.76,1.66,1.462,2.436,60.38,32,-63.39,16.6,-38.31,"Micro_Nano_Cap",-44.9606357911328,266
"3596",1604028,0.881394982337952,2018,0.118605017662048,1604028,"3086",1330354,1043242,1813.19,2.213,2.169,1.964,3.07,39676,25.23,0.54,42.7,"Micro_Nano_Cap",14.2212880088115,106
"3597",1604665,0.930596649646759,2018,0.069403350353241,1604665,"2860",1285622,1462125,804.32,1.172,0.842,1.137,9.6,112641,6.13,-3.51,133.64,"Micro_Nano_Cap",-33.1618490875146,188
