"","cik","Score","year","distance","cik_str","sic","Revenue","Total.Assets","MV","TobinsQ_1","TobinsQ_2","TobinsQ.before","RevenueGrowth","RevenueGrowthAbs","TobinsQGrowth","AssetGrowth","MVGrowth","FirmSize","NormalizedDistance","Industry"
"31",14177,0.915703117847443,2017,0.0842968821525574,14177,"2013",167223,87505,107.92,1.305,1.307,1.333,19.39,27160,-4.18,20.33,-23.44,"Micro_Nano_Cap",-18.818793299054,12
"32",14272,0.914198219776154,2017,0.0858017802238464,14272,"2834",20776000,31941000,102856.2,3.344,3.595,3.016,6.94,1349000,21.64,4.01,10.6,"Micro_Nano_Cap",-17.369517379595,82
"33",14930,0.861594498157501,2017,0.138405501842499,14930,"3510",4510000,3192600,4705.7,1.572,1.735,1.491,0.48,21500,10.81,7.25,15.14,"Micro_Nano_Cap",33.2899315693515,63
"34",15615,0.900721371173859,2017,0.0992786288261414,15615,"1623",6606978,4066576,3384.55,1.289,1.196,1.077,28.67,1472275,39.17,27.75,45.67,"Micro_Nano_Cap",-4.39078312367963,161
"35",16875,0.908955633640289,2017,0.0910443663597107,16875,"4011",6554000,20135000,23543.18,1.97,1.938,1.96,5.17,322000,1.02,4.76,7.97,"Micro_Nano_Cap",-12.3207011259538,88
"36",18230,0.910605609416962,2017,0.0893943905830383,18230,"3531",45462000,75269000,70719.69,1.329,1.497,1.124,17.97,6925000,36.29,4.67,49.83,"Micro_Nano_Cap",-13.9096925709183,234
"37",18926,0.89367949962616,2017,0.10632050037384,18926,"4813",17656000,75611000,10079.83,0.697,0.646,0.739,1.06,186000,-11.31,60.82,-33.73,"Micro_Nano_Cap",2.39081561493892,179
"38",19584,0.947918057441711,2017,0.0520819425582886,19584,"8082",1666724,920026,3097.3,3.746,3.592,2.806,5.7,89843,66.66,4.54,39.18,"Micro_Nano_Cap",-49.843044769326,146
"39",19745,0.892307281494141,2017,0.107692718505859,19745,"4923",617583,1417434,1302.65,1.256,1.258,1.143,23.8,118723,19.67,15.31,38.95,"Micro_Nano_Cap",3.71231554435054,37
"40",20212,0.872696876525879,2017,0.127303123474121,20212,"7948",882600,2359400,3055.45,1.806,1.841,1.466,-32.55,-426000,46.15,4.66,25.44,"Micro_Nano_Cap",22.5979053617364,279
"41",21344,0.894587874412537,2017,0.105412125587463,21344,"2080",35423000,87896000,198421.9,2.357,2.783,2.17,-15.46,-6478000,17.15,0.72,8.76,"Micro_Nano_Cap",1.51601503617804,33
"42",21535,0.916478872299194,2017,0.0835211277008057,21535,"3825",352704,420457,533.47,1.384,1.651,0.518,25.04,70620,332.69,21.69,82.79,"Micro_Nano_Cap",-19.5658752893803,55
