"","cik","TobinsQGrowth","MeanMV","MeanAssets","TimeDiff","sic","distance","NormalizedDistance","Industry"
"1",1750,0.273059553584239,1350.76166666667,1675750,6,"3720",0.323581457138062,6.77720782094953,224
"2",1800,0.386612793128955,145902.441428571,66627142.8571429,6,"2834",0.258331000804901,-14.7545004478743,82
"3",1961,-3.54742091663973,8.52857142857143,983,6,"7372",0.308518350124359,1.80660004182374,264
"4",2034,-0.318665617971748,214.805,894180.5,1,NA,0.134372889995575,-55.6588868612539,106
"5",2098,-0.222902267684133,87.5328571428571,123487.714285714,6,"3420",0.283652305603027,-6.39883554469806,1
"6",2186,-0.561445614612499,50.66,37629.8333333333,6,"3663",0.335061609745026,10.5654923894531,271
"7",2488,-0.126099384947308,62065.1228571429,14876428.5714286,6,"3674",0.3206906914711,5.82329689813934,55
"8",2969,0.224789642220878,52378.9714285714,23841342.8571429,6,"2810",0.316612899303436,4.47768437266178,310
"9",3116,-0.956478563091211,2496.3625,1663830,3,NA,0.27031683921814,-10.7993468662133,82
"10",3197,-0.0779932266458048,294.038571428571,439614.285714286,6,"3564",0.321711242198944,6.16006389994053,117
"11",3453,-0.730250930763322,1770.89666666667,2794900,6,"4400",0.251122355461121,-17.133249306935,225
"12",3545,-0.393472959062901,245.421666666667,422894.333333333,6,"100",0.310149431228638,2.34483325081158,156
"13",4127,-0.245056479739819,20505.79,6638950,4,"3674",0.240286707878113,-20.7088565252181,55
"14",4187,0.274954358827563,15.7133333333333,21707.3333333333,2,NA,0.316412925720215,4.4116959781376,152
"15",4281,0.939059840135431,11784.4671428571,14753714.2857143,6,"3350",0.365945279598236,20.756657431345,22
"16",4457,-0.232766314855666,7715.51857142857,13651199.5714286,6,"7510",0.248831629753113,-17.8891557088287,40
"17",5981,-0.226558466414279,528.285714285714,618117.714285714,6,"2870",0.303772807121277,0.240639384049812,119
"18",6176,0.37971261200575,96.0714285714286,520196,6,"3561",0.379087388515472,25.0933635809269,93
"19",6201,-0.31015492830384,14651.6557142857,57546714.2857143,6,"4512",0.27916008234024,-7.88120434651737,225
"20",6281,0.252021892052897,60987.9483333333,34361113.6666667,6,"3674",0.331638276576996,9.43584188241833,117
"21",6845,-0.046956983087771,1045.90857142857,973869.285714286,6,"3231",0.247993648052216,-18.1656775683266,71
"22",6885,0.202803867077087,55.16,775283.5,1,NA,0.293500244617462,-3.14915788995009,21
"23",6951,0.790463379091136,65227.81,20263500,4,"3674",0.232342660427094,-23.3302774592831,126
"24",7039,-0.623828098011546,250.001666666667,310264.166666667,5,NA,0.355789542198181,17.4054107544442,119
"25",7084,0.133866008655753,30008.0185714286,47170142.8571429,6,"2070",0.304831385612488,0.589954998580189,12
"26",7431,0.331562243123657,3593.46285714286,1721971.42857143,6,"3089",0.284772515296936,-6.02918252333071,135
"27",7536,-0.323079179284775,6389.235,17278584.8333333,6,"5065",0.241603493690491,-20.2743362236299,128
"28",7623,0.348846214108656,11.3366666666667,20665.3333333333,6,"3523",0.232323169708252,-23.3367091150236,147
"29",8063,-1.23780114687973,548.081428571429,677367.142857143,6,"3728",0.306301057338715,1.07492544382093,22
"30",8146,-0.0188329483330921,101.831428571429,117955.571428571,6,"3577",0.346401035785675,14.3073392233899,22
"31",8328,2.026889495227,7.27333333333333,3086.5,5,NA,0.299606263637543,-1.13425979401985,118
"32",8504,-2.30127189516909,47.306,19430,5,"3721",0.426620960235596,40.7787557876443,192
"33",8670,0.751896684632136,76362.9633333333,45951516.6666667,6,"7374",0.286526024341583,-5.45054986207681,72
"34",8818,-0.0625499927576454,13408.06,6706600,3,"2670",0.31085467338562,2.57755297778925,1
"35",8858,-0.017241806434506,4196.57666666667,9769711,6,"5065",0.291066825389862,-3.9521510925862,117
"36",8868,0.527871011566284,2027.97,2742557.14285714,6,NA,0.263711214065552,-12.979107770758,157
"37",8947,-0.427314990892821,1170.15285714286,1214534.28571429,6,"3470",0.305562973022461,0.831368278577127,144
"38",9092,0.472809664057809,1686.76,433854.833333333,6,"3824",0.354886472225189,17.1074107051339,128
"39",9326,-0.0885920051440868,3137.745,1139942.33333333,6,"2800",0.246741950511932,-18.5787196801024,16
"40",9346,-1.51597218442842,NA,1468238.8,4,NA,0.278627097606659,-8.05708161144589,317
"41",9389,-0.105868001078512,18643.1983333333,17311833.3333333,6,"3411",0.306824028491974,1.24749837185525,63
"42",9984,-0.343172429191033,2484.69571428571,2510848.14285714,6,"3490",0.328416764736176,8.37278949873939,117
"43",10254,0.38390591152478,365.668571428571,1397115,6,NA,0.381072282791138,25.7483500268433,111
"44",10329,-1.25976416395435,219.08,333018,6,"2511",0.303808569908142,0.252440587243408,157
"45",10456,-0.258312872992976,38375.42,19346600,5,"3841",0.326606094837189,7.77529458104773,82
"46",11199,-0.0263576398425154,4519.58,3662200,2,NA,0.280238211154938,-7.52543740757449,106
"47",12040,-1.03244642787116,44.17,96446.75,5,"5812",0.333596408367157,10.0819970946116,174
"48",12208,-0.127628642263597,10016.66,9427646,6,"3826",0.283538639545441,-6.43634370218169,82
"49",12659,-0.0814141034639164,4790.21333333333,3421551.83333333,6,"7200",0.252890825271606,-16.5496798090118,305
"50",12927,-0.103090638331756,133543.261666667,127874000,6,"3721",0.267974555492401,-11.5722666693777,171
"51",13156,0.452880378950568,46.2871428571429,27858.7142857143,6,"7900",0.375714540481567,23.980372439067,216
"52",13372,0.062520356981334,25.28,11512314.6,6,"4911",NA,NA,NA
"53",13573,-0.342235941337963,52.735,28884.25,3,NA,0.262180924415588,-13.4840812554119,178
"54",14177,-0.815064783278943,154.33,123648.714285714,6,"2013",0.25295478105545,-16.5285753239673,12
"55",14195,-0.648337846407134,695.646666666667,1442214.33333333,2,NA,0.297594845294952,-1.79799879897155,147
"56",14272,-0.479063110339059,114023.517142857,78053142.8571429,6,"2834",0.297580242156982,-1.80281762360893,82
"57",14707,-1.03894349405628,1029.6025,1901216.75,3,"3140",0.277578771114349,-8.40301421439411,21
"58",14930,-0.279000882706734,5326.86571428571,4119400,6,"3510",0.334181010723114,10.2749074294828,63
"59",15615,-0.149981111590533,4294.02428571429,5475595.42857143,6,"1623",0.279818832874298,-7.66382618369137,161
"60",15847,0.27312348361923,NA,81845.1666666667,6,"7990",0.378101646900177,24.7680830835674,204
"61",16040,0.0547889823986855,3208.548,3115800,6,"2890",0.231676399707794,-23.5501338747797,106
"62",16058,0.115544700820826,5504.24,5556683.5,6,"7373",0.301305949687958,-0.573387943572312,271
"63",16099,-0.303682413798222,66.375,195648.75,3,NA,0.288686096668243,-4.73775718918374,174
"64",16160,-0.0304592074847086,1865.43666666667,1130078.33333333,3,"200",0.264589190483093,-12.6893882323553,193
"65",16732,-0.495001877601088,13471.5383333333,11836500,6,"2000",0.296372413635254,-2.20138359280058,12
"66",16875,-0.304143349505853,38122.53,35469857.1428571,6,"4011",0.239309012889862,-21.0314817518589,88
